fid,nome,geometriaaproximada,geocodigo,anodereferencia,utmepsg
1,Boa Esperança do Norte,Não,"5101837",,31981
2,Novo Progresso,Não,"1505031",,31981
3,Balneário Rincão,Não,"4220000",,31982
4,Janduís,Não,"2405207",,31984
5,Alto Taquari,Não,"5100607",,31982
6,Novo Santo Antônio,Não,"5106315",,31982
7,Tesouro,Não,"5108105",,31982
8,Serranópolis de Minas,Não,"3166956",,31983
9,Satuba,Não,"2708907",,31985
10,Caiana,Não,"3110103",,31984
11,Varre-Sai,Não,"3306156",,31984
12,Pedro Velho,Não,"2409803",,31985
13,Sobrália,Não,"3167707",,31983
14,Soledade de Minas,Não,"3167806",,31983
15,Taiobeiras,Não,"3168002",,31983
16,Carangola,Não,"3113305",,31983
17,Vigia,Não,"1508209",,31982
18,Serra Nova Dourada,Não,"5107883",,31982
19,Alecrim,Não,"4300307",,31981
20,Santa Margarida do Sul,Não,"4316972",,31981
21,Caldas,Não,"3110301",,31983
22,Rorainópolis,Não,"1400472",,31980
23,Amajari,Não,"1400027",,31974
24,Caibi,Não,"4203105",,31982
25,Camacho,Não,"3110400",,31983
26,Santa Cruz da Esperança,Não,"3546256",,31983
27,Ibirapuã,Não,"2912806",,31984
28,Durandé,Não,"3123528",,31984
29,São José dos Ausentes,Não,"4318622",,31982
30,Charrua,Não,"4305371",,31982
31,Jaquirana,Não,"4311122",,31982
32,Quatro Irmãos,Não,"4315313",,31982
33,Agudos do Sul,Não,"4100301",,31982
34,Cruzaltense,Não,"4306130",,31982
35,Paraná,Não,"2408607",,31984
36,Paulo Bento,Não,"4314134",,31982
37,Pinhal da Serra,Não,"4314464",,31982
38,Santa Cecília do Sul,Não,"4316733",,31982
39,Barra de Santa Rosa,Não,"2501609",,31984
40,Júlio Borges,Não,"2205524",,31983
41,Morro Cabeça no Tempo,Não,"2206654",,31983
42,Currais Novos,Não,"2403103",,31984
43,Fervedouro,Não,"3125952",,31983
44,Formoso,Não,"3126208",,31983
45,Pinheiro Machado,Não,"4314506",,31982
46,Florânia,Não,"2403806",,31984
47,Angelândia,Não,"3102852",,31983
48,Capelinha,Não,"3112307",,31983
49,Coroaci,Não,"3119203",,31983
50,Santo Antônio,Não,"2411502",,31985
51,Córrego Fundo,Não,"3119955",,31983
52,Engenheiro Caldas,Não,"3123700",,31983
53,Iaras,Não,"3519253",,31982
54,Rondolândia,Não,"5107578",,31980
55,Linha Nova,Não,"4311643",,31982
56,Irará,Não,"2914505",,31984
57,Ichu,Não,"2913309",,31984
58,Barroso,Não,"3105905",,31983
59,Britânia,Não,"5203807",,31982
60,Santa Terezinha,Não,"2928505",,31984
61,Ruy Barbosa,Não,"2411106",,31985
62,Várzea da Roça,Não,"2933059",,31984
63,Abel Figueiredo,Não,"1500131",,31982
64,Água Azul do Norte,Não,"1500347",,31982
65,Capanema,Não,"1502202",,31983
66,Eldorado do Carajás,Não,"1502954",,31982
67,Floresta do Araguaia,Não,"1503044",,31982
68,Terra Nova,Não,"2931707",,31984
69,Uru,Não,"3555901",,31982
70,Baixa Grande do Ribeiro,Não,"2201150",,31983
71,Cachoeira Dourada,Não,"3109808",,31982
72,Arraial,Não,"2201002",,31983
73,Santa Maria,Não,"2409332",,31985
74,Antônio Almeida,Não,"2200806",,31983
75,Agricolândia,Não,"2200103",,31983
76,Barras,Não,"2201200",,31983
77,São Paulo do Potengi,Não,"2412609",,31985
78,São Bento do Sapucaí,Não,"3548609",,31983
79,Ourilândia do Norte,Não,"1505437",,31982
80,Nossa Senhora de Nazaré,Não,"2206753",,31983
81,São Lourenço do Piauí,Não,"2210359",,31983
82,Pavussu,Não,"2207850",,31983
83,Brazópolis,Não,"3108909",,31983
84,Cabo Verde,Não,"3109501",,31983
85,Cachoeira de Minas,Não,"3109709",,31983
86,Amarante,Não,"2200509",,31983
87,Porto,Não,"2208502",,31983
88,Alto Longá,Não,"2200301",,31983
89,Barra D'Alcântara,Não,"2201176",,31983
90,Altos,Não,"2200400",,31983
91,Alvorada do Gurguéia,Não,"2200459",,31983
92,Espírito Santo,Não,"2403509",,31985
93,Senador Elói de Souza,Não,"2413102",,31985
94,Avelino Lopes,Não,"2201101",,31983
95,Francisco Ayres,Não,"2204105",,31983
96,Lagoinha do Piauí,Não,"2205540",,31983
97,Couto de Magalhães de Minas,Não,"3120102",,31983
98,Serra Caiada,Não,"2410306",,31985
99,Sítio Novo,Não,"2413706",,31985
100,Cantagalo,Não,"3112059",,31983
101,Pingo-d'Água,Não,"3150539",,31983
102,Açucena,Não,"3100500",,31983
103,Águas Formosas,Não,"3100906",,31984
104,Beneditinos,Não,"2201606",,31983
105,Bertolínia,Não,"2201705",,31983
106,Pitangui,Não,"3151404",,31983
107,Albertina,Não,"3101409",,31983
108,Camanducaia,Não,"3110509",,31983
109,Arceburgo,Não,"3104106",,31983
110,Alvarenga,Não,"3102209",,31984
111,Andradas,Não,"3102605",,31983
112,Arcos,Não,"3104205",,31983
113,Água Santa,Não,"4300059",,31982
114,Ajuricaba,Não,"4300208",,31982
115,Chiador,Não,"3116209",,31983
116,Carlos Chagas,Não,"3113701",,31984
117,Coronel Fabriciano,Não,"3119401",,31983
118,Fronteira,Não,"3127008",,31982
119,Guaraciaba,Não,"3128204",,31983
120,Itamonte,Não,"3133006",,31983
121,Ametista do Sul,Não,"4300646",,31982
122,André da Rocha,Não,"4300661",,31982
123,Planura,Não,"3151602",,31982
124,Cambuí,Não,"3110608",,31983
125,Cana Verde,Não,"3111903",,31983
126,Castro,Não,"4104907",,31982
127,Sombrio,Não,"4217709",,31982
128,Jacinto Machado,Não,"4208708",,31982
129,Morro Grande,Não,"4211256",,31982
130,Confresa,Não,"5103353",,31982
131,Araçagi,Não,"2500809",,31985
132,Canabrava do Norte,Não,"5102694",,31982
133,Manicoré,Não,"1302702",,31980
134,Japurá,Não,"1302108",,31979
135,Buriti do Tocantins,Não,"1703800",,31982
136,Bananeiras,Não,"2501500",,31985
137,Colméia,Não,"1716703",,31982
138,Dois Irmãos do Tocantins,Não,"1707207",,31982
139,Barrolândia,Não,"1703107",,31982
140,Cuité de Mamanguape,Não,"2505238",,31985
141,Nova Cruz,Não,"2408300",,31985
142,Abreulândia,Não,"1700251",,31982
143,Divinópolis do Tocantins,Não,"1707108",,31982
144,Ponte Alta do Bom Jesus,Não,"1717800",,31983
145,Porto Alegre do Tocantins,Não,"1718006",,31983
146,Ponte Alta do Tocantins,Não,"1717909",,31983
147,Pindorama do Tocantins,Não,"1717008",,31983
148,Presidente Kennedy,Não,"1718402",,31982
149,Pequizeiro,Não,"1716653",,31982
150,Canguaretama,Não,"2402204",,31985
151,Passa e Fica,Não,"2409100",,31985
152,Cariri do Tocantins,Não,"1703867",,31982
153,Araguaçu,Não,"1702000",,31982
154,Natuba,Não,"2509909",,31985
155,Arraias,Não,"1702406",,31983
156,Barra do Ouro,Não,"1703073",,31983
157,Chapada de Areia,Não,"1704600",,31982
158,Porto Nacional,Não,"1718204",,31982
159,Santa Rita do Tocantins,Não,"1718899",,31982
160,Sucupira,Não,"1720853",,31982
161,Santa Maria do Tocantins,Não,"1718881",,31983
162,Paranã,Não,"1716208",,31983
163,Filadélfia,Não,"1707702",,31983
164,Salgado de São Félix,Não,"2513109",,31985
165,Lagoa de Velhos,Não,"2406403",,31985
166,Riachuelo,Não,"2410900",,31985
167,Palestina de Goiás,Não,"5215652",,31982
168,Piranhas,Não,"5217203",,31982
169,Aragarças,Não,"5201702",,31982
170,Bom Jardim de Goiás,Não,"5203401",,31982
171,Doverlândia,Não,"5207253",,31982
172,Baliza,Não,"5203104",,31982
173,Matrinchã,Não,"5212956",,31982
174,Aruanã,Não,"5202502",,31982
175,Abreu e Lima,Não,"2600054",,31985
176,Matinhas,Não,"2509339",,31985
177,Itatuba,Não,"2507200",,31985
178,Tangará,Não,"2414001",,31985
179,Arara,Não,"2500908",,31985
180,Cacimbas,Não,"2503555",,31984
181,Areia,Não,"2501104",,31985
182,Areia de Baraúnas,Não,"2501153",,31984
183,Areial,Não,"2501203",,31985
184,Cabaceiras,Não,"2503100",,31984
185,Caraúbas,Não,"2504074",,31984
186,São Miguel de Taipu,Não,"2515005",,31985
187,Damião,Não,"2505352",,31985
188,Assunção,Não,"2501351",,31984
189,Betânia,Não,"2601805",,31984
190,Carnaubeira da Penha,Não,"2603926",,31984
191,Aceguá,Não,"4300034",,31981
192,Esperança,Não,"2506004",,31985
193,São Bento do Trairí,Não,"2411700",,31984
194,Serra Negra do Norte,Não,"2413409",,31984
195,Acari,Não,"2400109",,31984
196,Altinho,Não,"2600807",,31984
197,Carnaúba dos Dantas,Não,"2402402",,31984
198,Camalaú,Não,"2503902",,31984
199,Coronel Ezequiel,Não,"2402808",,31984
200,Jaçanã,Não,"2405009",,31984
201,Sossêgo,Não,"2516151",,31984
202,Parelhas,Não,"2408904",,31984
203,Barão de Cotegipe,Não,"4301701",,31982
204,Desterro,Não,"2505402",,31984
205,Barra Funda,Não,"4301958",,31982
206,Arroio Grande,Não,"4301305",,31982
207,Cacimba de Areia,Não,"2503407",,31984
208,Junco do Seridó,Não,"2507804",,31984
209,Equador,Não,"2403400",,31984
210,Ipueira,Não,"2404804",,31984
211,Angelim,Não,"2601003",,31984
212,Jardim de Piranhas,Não,"2405603",,31984
213,Timbaúba dos Batistas,Não,"2414308",,31984
214,Matias Olímpio,Não,"2206100",,31983
215,Lagoa Grande,Não,"2608750",,31984
216,Cururupu,Não,"2103703",,31983
217,Águas Vermelhas,Não,"3101003",,31984
218,Tio Hugo,Não,"4321469",,31982
219,Rolador,Não,"4315958",,31981
220,Santa Rita do Trivelato,Não,"5107768",,31981
221,São José do Peixe,Não,"2210102",,31983
222,Centro Novo do Maranhão,Não,"2103174",,31983
223,Centro do Guilherme,Não,"2103158",,31983
224,Santa Luzia,Não,"2110005",,31983
225,Dias d'Ávila,Não,"2910057",,31984
226,Caicó,Não,"2402006",,31984
227,São Miguel do Tocantins,Não,"1720200",,31983
228,Cruzeta,Não,"2403004",,31984
229,Jardim do Seridó,Não,"2405702",,31984
230,Caetés,Não,"2603207",,31984
231,Calçado,Não,"2603306",,31984
232,Canhotinho,Não,"2603702",,31984
233,Coivaras,Não,"2202737",,31983
234,Capoeiras,Não,"2603801",,31984
235,Demerval Lobão,Não,"2203305",,31983
236,Jucati,Não,"2608255",,31984
237,Sítio Novo do Tocantins,Não,"1720804",,31983
238,João Câmara,Não,"2405801",,31985
239,Poço Branco,Não,"2410108",,31985
240,Carrasco Bonito,Não,"1703891",,31982
241,Francisco Sá,Não,"3126703",,31983
242,Paranatama,Não,"2610301",,31984
243,Saloá,Não,"2612307",,31984
244,Grão Mogol,Não,"3127800",,31983
245,Indaiabira,Não,"3130655",,31983
246,Catuti,Não,"3115474",,31983
247,Bento Fernandes,Não,"2401602",,31985
248,Alagoinha,Não,"2600609",,31984
249,Capitão Enéas,Não,"3112703",,31983
250,São Sebastião de Lagoa de Roça,Não,"2515104",,31985
251,São Sebastião do Umbuzeiro,Não,"2515203",,31984
252,Arcoverde,Não,"2601201",,31984
253,Buíque,Não,"2602803",,31984
254,Tibau do Sul,Não,"2414209",,31985
255,Fruta de Leite,Não,"3127073",,31983
256,Gameleiras,Não,"3127339",,31983
257,Campo Azul,Não,"3111150",,31983
258,Comercinho,Não,"3117009",,31984
259,Coração de Jesus,Não,"3118809",,31983
260,Manari,Não,"2609154",,31984
261,Pedra,Não,"2610806",,31984
262,Jardim de Angicos,Não,"2405504",,31985
263,Cabrobó,Não,"2603009",,31984
264,Floresta,Não,"2605707",,31984
265,Brasília de Minas,Não,"3108602",,31983
266,Malta,Não,"2508802",,31984
267,Pombal,Não,"2512101",,31984
268,Inajá,Não,"2607000",,31984
269,Almenara,Não,"3101706",,31984
270,Madeiro,Não,"2205854",,31983
271,Curral de Dentro,Não,"3120870",,31984
272,Divisa Alegre,Não,"3122355",,31984
273,Curral Velho,Não,"2505303",,31984
274,Bandeira,Não,"3105202",,31984
275,Berizal,Não,"3106655",,31984
276,Lucena,Não,"2508604",,31985
277,Cachoeira de Pajeú,Não,"3102704",,31984
278,Coaraci,Não,"2908002",,31984
279,Angical do Piauí,Não,"2200608",,31983
280,Água Branca,Não,"2200202",,31983
281,Araguaína,Não,"1702109",,31982
282,Goiatins,Não,"1709005",,31983
283,Itaguatins,Não,"1710706",,31983
284,Arês,Não,"2401206",,31985
285,Maurilândia do Tocantins,Não,"1712801",,31983
286,Gonçalves Dias,Não,"2104404",,31983
287,Augustinópolis,Não,"1702554",,31983
288,Axixá do Tocantins,Não,"1702901",,31983
289,Coronel Murta,Não,"3119500",,31983
290,Dueré,Não,"1707306",,31982
291,Espinosa,Não,"3124302",,31983
292,Janaúba,Não,"3135100",,31983
293,Cristália,Não,"3120300",,31983
294,Santa Luz,Não,"2209302",,31983
295,São Miguel do Gostoso,Não,"2412559",,31985
296,Ouro Verde de Minas,Não,"3146206",,31984
297,Padre Paraíso,Não,"3146305",,31984
298,Pavão,Não,"3148509",,31984
299,Poté,Não,"3152402",,31984
300,Caraí,Não,"3113008",,31984
301,Crisólita,Não,"3120151",,31984
302,Baía Formosa,Não,"2401404",,31985
303,Bom Jesus,Não,"2401701",,31985
304,Brejinho,Não,"2401800",,31985
305,Botumirim,Não,"3108503",,31983
306,Toritama,Não,"2615409",,31984
307,Ceará-Mirim,Não,"2402600",,31985
308,Piaçabuçu,Não,"2706802",,31984
309,Extremoz,Não,"2403608",,31985
310,Custódia,Não,"2605103",,31984
311,Baía da Traição,Não,"2501401",,31985
312,Batalha,Não,"2201507",,31983
313,Acaiaca,Não,"3100401",,31983
314,Luzilândia,Não,"2205805",,31983
315,Morro do Chapéu do Piauí,Não,"2206670",,31983
316,São João do Arraial,Não,"2209971",,31983
317,Carutapera,Não,"2102903",,31983
318,Carandaí,Não,"3113206",,31983
319,Fronteira dos Vales,Não,"3127057",,31984
320,Itaipé,Não,"3132305",,31984
321,Mantena,Não,"3139607",,31984
322,Italva,Não,"3302056",,31984
323,Monte Formoso,Não,"3143153",,31984
324,Nanuque,Não,"3144300",,31984
325,Nova Belém,Não,"3144672",,31984
326,Novo Cruzeiro,Não,"3145307",,31984
327,Novo Oriente de Minas,Não,"3145356",,31984
328,Capitão Andrade,Não,"3112653",,31984
329,Catuji,Não,"3115458",,31984
330,Conselheiro Pena,Não,"3118403",,31984
331,São João da Barra,Não,"3305000",,31984
332,Capitão,Não,"4304697",,31982
333,Cuparaque,Não,"3120839",,31984
334,Coimbra,Não,"3116704",,31983
335,Baldim,Não,"3105004",,31983
336,Ibimirim,Não,"2606606",,31984
337,Tupanatinga,Não,"2615805",,31984
338,Galiléia,Não,"3127305",,31984
339,Ataléia,Não,"3104700",,31984
340,Esperantina,Não,"1707405",,31982
341,Centenário,Não,"1704105",,31983
342,Itapiratins,Não,"1710904",,31982
343,Lizarda,Não,"1712405",,31983
344,São Félix do Tocantins,Não,"1720150",,31983
345,Berilo,Não,"3106507",,31983
346,Chapada do Norte,Não,"3116100",,31983
347,Coluna,Não,"3116803",,31983
348,Monsenhor Gil,Não,"2206407",,31983
349,Conceição de Ipanema,Não,"3117405",,31984
350,Divinolândia de Minas,Não,"3122207",,31983
351,Mar Vermelho,Não,"2704906",,31984
352,Alvinópolis,Não,"3102308",,31983
353,Carbonita,Não,"3113503",,31983
354,Chalé,Não,"3116001",,31984
355,Aricanduva,Não,"3104452",,31983
356,Cajuri,Não,"3110202",,31983
357,Abre Campo,Não,"3100302",,31983
358,Alvorada de Minas,Não,"3102407",,31983
359,Congonhas do Norte,Não,"3118106",,31983
360,Datas,Não,"3121001",,31983
361,Diamantina,Não,"3121605",,31983
362,Bocaiúva,Não,"3107307",,31983
363,Canaã,Não,"3111705",,31983
364,Barra Longa,Não,"3105707",,31983
365,Caeté,Não,"3110004",,31983
366,Nazaré do Piauí,Não,"2206704",,31983
367,Amparo do Serra,Não,"3102506",,31983
368,Dores do Turvo,Não,"3123304",,31983
369,Belo Oriente,Não,"3106309",,31983
370,Braúnas,Não,"3108800",,31983
371,Araponga,Não,"3103702",,31983
372,Divinésia,Não,"3121902",,31983
373,Antônio Carlos,Não,"3102902",,31983
374,Barbacena,Não,"3105608",,31983
375,Belmiro Braga,Não,"3106101",,31983
376,Central de Minas,Não,"3115706",,31984
377,Bias Fortes,Não,"3106804",,31983
378,Carrancas,Não,"3114600",,31983
379,Cipotânea,Não,"3116308",,31983
380,Diogo de Vasconcelos,Não,"3121704",,31983
381,Divino das Laranjeiras,Não,"3122108",,31984
382,Capela Nova,Não,"3112208",,31983
383,Caranaíba,Não,"3113107",,31983
384,Caratinga,Não,"3113404",,31984
385,Catas Altas da Noruega,Não,"3115409",,31983
386,Belo Vale,Não,"3106408",,31983
387,Brás Pires,Não,"3108701",,31983
388,Congonhas,Não,"3118007",,31983
389,Conselheiro Lafaiete,Não,"3118304",,31983
390,Divino,Não,"3122009",,31983
391,Felixlândia,Não,"3125705",,31983
392,Betim,Não,"3106705",,31983
393,Bom Jesus do Galho,Não,"3107802",,31983
394,Bonfim,Não,"3108107",,31983
395,Brumadinho,Não,"3109006",,31983
396,Bugre,Não,"3109253",,31983
397,Divinópolis,Não,"3122306",,31983
398,Lagoa da Prata,Não,"3137205",,31983
399,Entre Rios de Minas,Não,"3123908",,31983
400,Lassance,Não,"3138104",,31983
401,Nova Serrana,Não,"3145208",,31983
402,Casa Grande,Não,"3114907",,31983
403,Claro dos Poções,Não,"3116506",,31983
404,Augusto de Lima,Não,"3104809",,31983
405,Buenópolis,Não,"3109204",,31983
406,Buritizeiro,Não,"3109402",,31983
407,Santo Antônio do Monte,Não,"3160405",,31983
408,Carmo da Mata,Não,"3114006",,31983
409,Carmo do Cajuru,Não,"3114204",,31983
410,Carmópolis de Minas,Não,"3114501",,31983
411,Cláudio,Não,"3116605",,31983
412,Crucilândia,Não,"3120607",,31983
413,Desterro de Entre Rios,Não,"3121407",,31983
414,Junco do Maranhão,Não,"2105658",,31983
415,Luís Domingues,Não,"2106201",,31983
416,Cordeiro,Não,"3301504",,31983
417,Rio das Ostras,Não,"3304524",,31984
418,Alto Rio Doce,Não,"3102100",,31983
419,Araçaí,Não,"3103207",,31983
420,Maranhãozinho,Não,"2106375",,31983
421,São João do Carú,Não,"2111029",,31983
422,Aracitaba,Não,"3103306",,31983
423,Argirita,Não,"3104403",,31983
424,Catas Altas,Não,"3115359",,31983
425,Desterro do Melo,Não,"3121506",,31983
426,Chácara,Não,"3115904",,31983
427,Cordisburgo,Não,"3118908",,31983
428,Coronel Pacheco,Não,"3119609",,31983
429,Córrego Novo,Não,"3120003",,31983
430,Passa Vinte,Não,"3147808",,31983
431,Carmo da Cachoeira,Não,"3113909",,31983
432,Caxambu,Não,"3115508",,31983
433,Bom Sucesso,Não,"3108008",,31983
434,Baependi,Não,"3104908",,31983
435,Boa Esperança,Não,"3107109",,31983
436,Bocaina de Minas,Não,"3107208",,31983
437,Carvalhos,Não,"3114808",,31983
438,Cruzília,Não,"3120805",,31983
439,Campo do Meio,Não,"3111309",,31983
440,Campos Gerais,Não,"3111606",,31983
441,Candeias,Não,"3112000",,31983
442,Capitólio,Não,"3112802",,31983
443,Cristais,Não,"3120201",,31983
444,Aguanil,Não,"3100807",,31983
445,Iguatama,Não,"3130309",,31983
446,Alfenas,Não,"3101607",,31983
447,Antônio Prado de Minas,Não,"3103108",,31983
448,Campo Belo,Não,"3111200",,31983
449,Cambuquira,Não,"3110707",,31983
450,Campanha,Não,"3110905",,31983
451,Alpinópolis,Não,"3101904",,31983
452,Cássia,Não,"3115102",,31983
453,Cataguases,Não,"3115300",,31983
454,Claraval,Não,"3116407",,31983
455,Consolação,Não,"3118502",,31983
456,Córrego do Bom Jesus,Não,"3119906",,31983
457,Delfinópolis,Não,"3121209",,31983
458,Água Comprida,Não,"3100708",,31982
459,Capinópolis,Não,"3112604",,31982
460,Descoberto,Não,"3121308",,31983
461,Delfim Moreira,Não,"3121100",,31983
462,Careaçu,Não,"3113602",,31983
463,Conceição da Aparecida,Não,"3117108",,31983
464,Barão do Monte Alto,Não,"3105509",,31983
465,Conceição das Pedras,Não,"3117207",,31983
466,Conceição dos Ouros,Não,"3117801",,31983
467,Congonhal,Não,"3117900",,31983
468,Cristina,Não,"3120508",,31983
469,Arantina,Não,"3103603",,31983
470,Itaoca,Não,"3522158",,31982
471,Bom Jardim de Minas,Não,"3107505",,31983
472,Campestre da Serra,Não,"4303673",,31982
473,Esmeralda,Não,"4307401",,31982
474,Ipê,Não,"4310439",,31982
475,Muitos Capões,Não,"4312617",,31982
476,Vacaria,Não,"4322509",,31982
477,Alto Paraíso,Não,"4128625",,31982
478,Areado,Não,"3104304",,31983
479,Bandeira do Sul,Não,"3105301",,31983
480,Bom Jesus da Penha,Não,"3107604",,31983
481,Arvorezinha,Não,"4301404",,31982
482,Guia Lopes da Laguna,Não,"5004106",,31981
483,Camargo,Não,"4303558",,31982
484,Bonito,Não,"5002209",,31981
485,Ponta Porã,Não,"5006606",,31981
486,Iguatemi,Não,"5004304",,31981
487,Itapissuma,Não,"2607752",,31985
488,Bom Repouso,Não,"3107901",,31983
489,Borda da Mata,Não,"3108305",,31983
490,Botelhos,Não,"3108404",,31983
491,Barão,Não,"4301651",,31982
492,Camaquã,Não,"4303509",,31982
493,Colorado,Não,"4305603",,31982
494,São Gabriel do Oeste,Não,"5007695",,31981
495,Amaral Ferrador,Não,"4300638",,31982
496,Bueno Brandão,Não,"3109105",,31983
497,Campestre,Não,"3111002",,31983
498,Dionísio,Não,"3121803",,31983
499,Alto Jequitibá,Não,"3153509",,31984
500,Antônio Dias,Não,"3103009",,31983
501,Caputira,Não,"3112901",,31983
502,Itanhandu,Não,"3133105",,31983
503,Jaguaraçu,Não,"3135001",,31983
504,Machacalis,Não,"3138906",,31984
505,Bertópolis,Não,"3106606",,31984
506,Capetinga,Não,"3112406",,31983
507,Abatiá,Não,"4100103",,31982
508,Arapoti,Não,"4101606",,31982
509,Barra do Jacaré,Não,"4102703",,31982
510,Bocaiúva do Sul,Não,"4103107",,31982
511,Cambará,Não,"4103602",,31982
512,Frutal,Não,"3127107",,31982
513,Queluz,Não,"3541901",,31983
514,Ouroeste,Não,"3534757",,31982
515,Carneirinho,Não,"3114550",,31982
516,Contagem,Não,"3118601",,31983
517,Cordislândia,Não,"3119005",,31983
518,Carmo de Minas,Não,"3114105",,31983
519,Carvalhópolis,Não,"3114709",,31983
520,Dom Aquino,Não,"5103601",,31981
521,Cachoeira da Prata,Não,"3109600",,31983
522,Caetanópolis,Não,"3109907",,31983
523,Morro Agudo,Não,"3531902",,31982
524,Santa Bárbara d'Oeste,Não,"3545803",,31983
525,Caraá,Não,"4304713",,31982
526,Santa Gertrudes,Não,"3546702",,31983
527,Taquarivaí,Não,"3553856",,31982
528,Álvares Machado,Não,"3501301",,31982
529,Carlos Barbosa,Não,"4304804",,31982
530,Hortolândia,Não,"3519071",,31983
531,Itatinga,Não,"3523503",,31982
532,Limeira,Não,"3526902",,31983
533,Alfredo Vasconcelos,Não,"3101631",,31983
534,Redenção da Serra,Não,"3542305",,31983
535,Além Paraíba,Não,"3101508",,31983
536,Cabo Frio,Não,"3300704",,31983
537,Nova Odessa,Não,"3533403",,31983
538,Paranapanema,Não,"3535804",,31982
539,Ribeirão Grande,Não,"3543253",,31982
540,Anhumas,Não,"3502408",,31982
541,Pirapozinho,Não,"3539202",,31982
542,Tarabai,Não,"3553906",,31982
543,Araguainha,Não,"5101209",,31982
544,Santo Expedito,Não,"3548302",,31982
545,Santa Rita do Pardo,Não,"5007554",,31982
546,Taquarussu,Não,"5007976",,31982
547,Ribeirão Branco,Não,"3543006",,31982
548,Barra do Piraí,Não,"3300308",,31983
549,Itaboraí,Não,"3301900",,31983
550,Itaipava do Grajaú,Não,"2105351",,31983
551,Rosana,Não,"3544251",,31982
552,São João de Meriti,Não,"3305109",,31983
553,Presidente Médici,Não,"2109239",,31983
554,Pinheiro,Não,"2108603",,31983
555,Carmésia,Não,"3113800",,31983
556,Amaporã,Não,"4100905",,31982
557,Cafezal do Sul,Não,"4103479",,31982
558,Cidade Gaúcha,Não,"4105607",,31982
559,Guaporema,Não,"4109104",,31982
560,Iporã,Não,"4110607",,31982
561,Bela Vista de Minas,Não,"3106002",,31983
562,Bom Jesus do Amparo,Não,"3107703",,31983
563,Conceição do Mato Dentro,Não,"3117504",,31983
564,Andrelândia,Não,"3102803",,31983
565,Laranjal do Jari,Não,"1600279",,31976
566,Japeri,Não,"3302270",,31983
567,Pedro Gomes,Não,"5006408",,31981
568,Nova Santa Rita,Não,"2207959",,31983
569,Siderópolis,Não,"4217600",,31982
570,Laurentino,Não,"4209508",,31982
571,Piên,Não,"4119103",,31982
572,Vicente Dutra,Não,"4323101",,31982
573,Ampére,Não,"4101002",,31982
574,Pedro Régis,Não,"2512721",,31985
575,Barra do Guarita,Não,"4301859",,31982
576,Campinas do Sul,Não,"4303806",,31982
577,Puxinanã,Não,"2512408",,31985
578,Queimadas,Não,"2512507",,31985
579,Engenho Velho,Não,"4306924",,31982
580,Entre Rios do Sul,Não,"4306957",,31982
581,Erval Grande,Não,"4307203",,31982
582,Braga,Não,"4302600",,31982
583,Araricá,Não,"4300877",,31982
584,Arambaré,Não,"4300851",,31982
585,Peritiba,Não,"4212601",,31982
586,Ouro Verde,Não,"3534807",,31982
587,Panorama,Não,"3535408",,31982
588,Matos Costa,Não,"4210704",,31982
589,Lebon Régis,Não,"4209706",,31982
590,Ponte Alta do Norte,Não,"4213351",,31982
591,Timbó Grande,Não,"4218251",,31982
592,Constantina,Não,"4305801",,31982
593,Entre-Ijuís,Não,"4306932",,31981
594,Eugênio de Castro,Não,"4307831",,31981
595,Ibiaçá,Não,"4309803",,31982
596,Boa Vista das Missões,Não,"4302154",,31982
597,Costa Rica,Não,"5003256",,31982
598,Camapuã,Não,"5002605",,31982
599,Nova Alvorada do Sul,Não,"5006002",,31981
600,Nova Independência,Não,"3533205",,31982
601,Santa Teresinha,Não,"2513802",,31984
602,Arroio do Meio,Não,"4301008",,31982
603,Brochier,Não,"4302659",,31982
604,Benjamin Constant,Não,"1300607",,31979
605,Atalaia do Norte,Não,"1300201",,31979
606,Amaturá,Não,"1300060",,31979
607,Eirunepé,Não,"1301407",,31979
608,Ipixuna,Não,"1301803",,31979
609,Boca do Acre,Não,"1300706",,31979
610,Ouro,Não,"4211801",,31982
611,Gaurama,Não,"4308706",,31982
612,Marau,Não,"4311809",,31982
613,Soledade,Não,"4320800",,31982
614,Rancho Alegre D'Oeste,Não,"4121356",,31982
615,Apucarana,Não,"4101408",,31982
616,Niterói,Não,"3303302",,31983
617,São Gonçalo,Não,"3304904",,31983
618,Seropédica,Não,"3305554",,31983
619,Aimorés,Não,"3101102",,31984
620,Volta Redonda,Não,"3306305",,31983
621,Astolfo Dutra,Não,"3104601",,31983
622,Bicas,Não,"3106903",,31983
623,Campanário,Não,"3110806",,31984
624,Alto Caparaó,Não,"3102050",,31984
625,Tanguá,Não,"3305752",,31983
626,São Félix do Araguaia,Não,"5107859",,31982
627,Patos do Piauí,Não,"2207777",,31984
628,Bom Jesus dos Perdões,Não,"3507100",,31983
629,Cruzeiro,Não,"3513405",,31983
630,Patu,Não,"2409308",,31984
631,Pau dos Ferros,Não,"2409407",,31984
632,Cubatão,Não,"3513504",,31983
633,Campos de Júlio,Não,"5102686",,31981
634,Praia Grande,Não,"3541000",,31983
635,Rio Claro,Não,"3543907",,31983
636,Taubaté,Não,"3554102",,31983
637,Olho D'Água do Piauí,Não,"2207108",,31983
638,Queimada Nova,Não,"2208650",,31984
639,Amparo,Não,"3501905",,31983
640,Porto Alegre do Piauí,Não,"2208551",,31983
